# word	AvgPosScore	AvgNegScore
varicose	0.0	0.875
starring	0.125	0.0
holofernes	0.125	0.0
blatherskite	0.25	0.25
ergot	0.0	0.25
restlessness	0.09375	0.40625
oneness	0.125	0.25
apomorphine	0.0	0.125
hemiramphidae	0.0	0.25
mbd	0.625	0.125
creatin	0.0	0.5
marshall	0.375	0.0
honeymoon	0.625	0.0
inapplicability	0.125	0.0
swelter	0.0625	0.25
unrecognisable	0.1875	0.3125
weirdie	0.0	0.5
despised	0.25	0.25
appealingly	0.375	0.0
suffice	0.0	0.5
tame	0.3125	0.0625
impracticability	0.0	0.75
grasping	0.0	0.5
greatness	0.1875	0.0625
raper	0.25	0.0
subtend	0.125	0.0
physiatrics	0.125	0.375
muscicapa	0.0	0.125
hebetude	0.25	0.375
perfumed	0.0625	0.25
safeguard	0.125	0.125
incinerator	0.0	0.125
unliveable	0.125	0.75
paneled	0.0	0.125
humbled	0.0	0.375
smasher	0.4375	0.0
boneshaker	0.0	0.25
unanimous	0.125	0.0
stouthearted	0.25	0.0
stipendiary	0.3125	0.0
cxxxv	0.0	0.125
sorus	0.125	0.0
duet	0.0	0.125
discountenance	0.0	0.25
disgrace	0.0625	0.5
unnerve	0.25	0.0
granuliferous	0.0	0.375
humorlessly	0.25	0.0
nonmetamorphic	0.0	0.125
feculent	0.0	0.25
sandaled	0.0	0.125
underfed	0.0	0.375
tamely	0.125	0.0
vegetative	0.1875	0.1875
roll	0.125	0.0
thoroughgoing	0.75	0.0
palmy	0.5	0.0
comely	0.6875	0.0
intent	0.25	0.125
ornateness	0.1875	0.25
variable	0.375	0.3125
reversibly	0.25	0.0
waffle	0.0	0.125
lamblike	0.375	0.125
gown	0.0	0.125
mugginess	0.125	0.0
mulishness	0.0	0.625
selectivity	0.125	0.0
irrecoverable	0.0	0.5
timbered	0.0	0.25
freelance	0.0	0.25
freehanded	0.25	0.25
macho	0.375	0.3125
oversight	0.0625	0.5
taconite	0.0	0.375
tenacious	0.1875	0.625
flatbed	0.0	0.5
jerk	0.025	0.125
prancer	0.125	0.0
choice	0.458333333333	0.0833333333333
embark	0.0	0.125
gloomy	0.0	0.541666666667
rationality	0.5625	0.0625
exact	0.125	0.0
palaeoclimatology	0.0	0.125
minute	0.5	0.25
homebody	0.0	0.625
joyride	0.0	0.5
picus	0.0	0.125
organon	0.125	0.0
roundworm	0.0	0.25
heavyweight	0.0625	0.0625
obstreperousness	0.25	0.5
bastardisation	0.125	0.0
shirty	0.0	0.625
kindliness	0.625	0.0
emotionalism	0.625	0.0
lavishness	0.1875	0.4375
celebrated	0.3125	0.0625
wayward	0.0	0.25
boost	0.1875	0.0
clannishly	0.25	0.0
unintentionally	0.25	0.125
blunted	0.25	0.0
topicality	0.125	0.0
restiveness	0.3125	0.375
idyllically	0.25	0.0
address	0.375	0.0
shamelessness	0.25	0.5
dusty	0.0	0.5625
accomplished	0.4375	0.0
vituperation	0.0	0.5
jerkiness	0.25	0.5
inexpressive	0.0	0.25
presocratic	0.125	0.0
cacophony	0.0	0.375
exsanguinous	0.0	0.5
abash	0.0	0.25
unlash	0.0	0.125
ingenuously	0.25	0.0
abase	0.0	0.625
working	0.208333333333	0.0833333333333
untaught	0.25	0.125
blackwater	0.0	0.25
optimize	0.125	0.0
overextend	0.25	0.375
vigour	0.1875	0.0625
wank	0.5	0.0
dimout	0.0	0.25
skinniness	0.0	0.125
tined	0.0	0.25
tinea	0.0	0.25
approving	0.5	0.0
intemperance	0.4375	0.1875
freyja	0.125	0.0
originally	0.125	0.0
fibrinous	0.375	0.25
harmonious	0.46875	0.0
froward	0.0	0.5
following	0.125	0.0
uncomplete	0.5	0.25
ammonite	0.125	0.125
admired	0.5	0.0
impermeability	0.0	0.25
implicitness	0.0	0.125
sextette	0.125	0.0
septic	0.0	0.625
stinkiness	0.0	0.375
uxoriousness	0.625	0.125
mastigophore	0.125	0.0
diddly	0.125	0.125
meddler	0.0	0.25
casualness	0.5	0.25
convincingly	0.375	0.0
laxative	0.0625	0.5
reassessment	0.125	0.0
phlegmatical	0.625	0.0
brainless	0.125	0.25
egotistical	0.125	0.375
temperate	0.0833333333333	0.5
mangy	0.0	0.25
conscious	0.375	0.0833333333333
unentitled	0.0	0.125
nebbish	0.125	0.75
sandboy	0.125	0.25
alleviatory	0.0	0.625
swollen	0.0	0.75
mange	0.0	0.25
thundery	0.0625	0.25
blowup	0.5	0.0
quarreller	0.25	0.0
illative	0.0625	0.125
scandalmongering	0.0	0.3125
yearn	0.375	0.25
wormlike	0.75	0.0
disconnect	0.0	0.25
groaner	0.0	0.25
mudder	0.125	0.0
inhospitably	0.25	0.0
revulsion	0.125	0.625
antipathy	0.0625	0.5
mundaneness	0.5625	0.1875
suspension	0.125	0.0416666666667
troubled	0.0	0.8125
modestly	0.125	0.0
civilian	0.0	0.25
bashful	0.375	0.25
inconsequence	0.25	0.625
courageously	0.375	0.0
thalia	0.125	0.0
overpowering	0.25	0.25
workmanlike	0.75	0.0
henpecked	0.0	1.0
unsusceptible	0.125	0.75
unfruitful	0.0	0.75
hickory	0.0	0.125
prophylaxis	0.5	0.0
leather	0.125	0.0
unquestionableness	0.375	0.25
instability	0.3125	0.1875
quarter	0.125	0.0
tightlipped	0.375	0.25
furosemide	0.0	0.125
unlikelihood	0.125	0.0
irremediable	0.0	0.625
prudently	0.375	0.0
troll	0.25	0.0
unsaleable	0.0	0.5
paroxysmal	0.375	0.375
seriously	0.125	0.125
trauma	0.125	0.375
hygienically	0.25	0.0
pathologic	0.125	0.625
snooker	0.0	0.5
lucrative	0.75	0.0
priodontes	0.25	0.0
pilferage	0.0	0.125
dissonant	0.125	0.5
overexertion	0.0	0.875
oblateness	0.25	0.0
workmanship	0.125	0.0
laurentius	0.0	0.25
kantrex	0.0	0.5
modest	0.267857142857	0.410714285714
quibble	0.0	0.125
stableness	0.5	0.0
marly	0.0	0.125
neglect	0.05	0.15
emotion	0.625	0.0
saving	0.28125	0.09375
spoken	0.0	0.25
dostoyevsky	0.0	0.625
cerebrally	0.25	0.0
one	0.325	0.175
punishable	0.125	0.75
penitence	0.0	0.25
liberalness	0.5	0.0
featherbrained	0.0	0.5
preclude	0.25	0.0
